"YY","MM","DD","hh","mm","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","PTDY","TIDE","Date"
2021,12,19,20,55,20,9.8,NA,NA,NA,NA,NA,NA,18,NA,15,8.7,NA,NA,2021-12-19 20:55:00
2021,12,19,20,35,10,4.1,12.9,NA,NA,NA,NA,NA,18,NA,15,8.7,NA,NA,2021-12-19 20:35:00
2021,12,19,20,15,10,5.7,11.8,NA,NA,NA,NA,NA,18,NA,16,7.8,NA,NA,2021-12-19 20:15:00
2021,12,19,19,55,NA,2.6,8.2,NA,NA,NA,NA,NA,20,NA,16,8.7,NA,NA,2021-12-19 19:55:00
2021,12,19,19,35,NA,2.1,NA,NA,NA,NA,NA,NA,20,NA,17,8.7,NA,NA,2021-12-19 19:35:00
2021,12,19,19,15,NA,2.6,7.7,NA,NA,NA,NA,NA,21,NA,17,8.7,NA,NA,2021-12-19 19:15:00
2021,12,19,18,55,NA,2.6,5.1,NA,NA,NA,NA,NA,21,NA,17,8.7,NA,NA,2021-12-19 18:55:00
2021,12,19,18,35,NA,2.1,5.1,NA,NA,NA,NA,NA,21,NA,17,8.7,NA,NA,2021-12-19 18:35:00
2021,12,19,18,15,NA,2.6,9.8,NA,NA,NA,NA,NA,21,NA,17,8.7,NA,NA,2021-12-19 18:15:00
2021,12,19,17,55,NA,2.6,8.2,NA,NA,NA,NA,NA,21,NA,16,8.7,NA,NA,2021-12-19 17:55:00
2021,12,19,17,35,350,5.1,10.3,NA,NA,NA,NA,NA,21,NA,17,8.7,NA,NA,2021-12-19 17:35:00
2021,12,19,17,15,NA,2.6,12.4,NA,NA,NA,NA,NA,21,NA,17,8.7,NA,NA,2021-12-19 17:15:00
2021,12,19,16,55,NA,2.1,9.3,NA,NA,NA,NA,NA,21,NA,17,8.7,NA,NA,2021-12-19 16:55:00
2021,12,19,16,35,NA,2.1,7.2,NA,NA,NA,NA,NA,21,NA,18,8.7,NA,NA,2021-12-19 16:35:00
2021,12,19,16,15,NA,3.1,8.8,NA,NA,NA,NA,NA,21,NA,18,8.7,NA,NA,2021-12-19 16:15:00
2021,12,19,15,55,NA,2.6,NA,NA,NA,NA,NA,NA,22,NA,18,8.7,NA,NA,2021-12-19 15:55:00
2021,12,19,15,35,NA,2.6,NA,NA,NA,NA,NA,NA,22,NA,18,8.7,NA,NA,2021-12-19 15:35:00
2021,12,19,15,15,NA,0,NA,NA,NA,NA,NA,NA,22,NA,18,8.7,NA,NA,2021-12-19 15:15:00
2021,12,19,14,55,NA,2.1,NA,NA,NA,NA,NA,NA,22,NA,19,8.7,NA,NA,2021-12-19 14:55:00
2021,12,19,14,35,NA,0,NA,NA,NA,NA,NA,NA,22,NA,19,8.7,NA,NA,2021-12-19 14:35:00
2021,12,19,14,15,NA,2.1,NA,NA,NA,NA,NA,NA,22,NA,19,8.7,NA,NA,2021-12-19 14:15:00
2021,12,19,13,55,NA,2.6,NA,NA,NA,NA,NA,NA,23,NA,20,8.7,NA,NA,2021-12-19 13:55:00
2021,12,19,13,35,NA,2.1,NA,NA,NA,NA,NA,NA,23,NA,20,8.7,NA,NA,2021-12-19 13:35:00
2021,12,19,13,15,NA,0,NA,NA,NA,NA,NA,NA,22,NA,20,8.7,NA,NA,2021-12-19 13:15:00
2021,12,19,12,55,NA,0,NA,NA,NA,NA,NA,NA,22,NA,20,8.7,NA,NA,2021-12-19 12:55:00
2021,12,19,12,35,NA,0,NA,NA,NA,NA,NA,NA,23,NA,20,8.7,NA,NA,2021-12-19 12:35:00
2021,12,19,12,15,80,2.1,NA,NA,NA,NA,NA,NA,22,NA,20,8.7,NA,NA,2021-12-19 12:15:00
2021,12,19,11,55,130,3.6,NA,NA,NA,NA,NA,NA,22,NA,20,8.7,NA,NA,2021-12-19 11:55:00
2021,12,19,11,35,130,4.6,NA,NA,NA,NA,NA,NA,22,NA,20,8.7,NA,NA,2021-12-19 11:35:00
2021,12,19,11,15,120,4.1,NA,NA,NA,NA,NA,NA,22,NA,19,8.7,NA,NA,2021-12-19 11:15:00
2021,12,19,10,55,60,5.1,NA,NA,NA,NA,NA,NA,21,NA,19,8.7,NA,NA,2021-12-19 10:55:00
2021,12,19,10,35,50,3.1,NA,NA,NA,NA,NA,NA,21,NA,19,8.7,NA,NA,2021-12-19 10:35:00
2021,12,19,10,15,60,6.2,NA,NA,NA,NA,NA,NA,21,NA,19,8.7,NA,NA,2021-12-19 10:15:00
2021,12,19,9,55,NA,2.1,8.8,NA,NA,NA,NA,NA,21,NA,19,8.7,NA,NA,2021-12-19 09:55:00
2021,12,19,9,35,NA,1.5,NA,NA,NA,NA,NA,NA,21,NA,19,7.8,NA,NA,2021-12-19 09:35:00
2021,12,19,9,15,NA,2.6,NA,NA,NA,NA,NA,NA,21,NA,19,8.7,NA,NA,2021-12-19 09:15:00
