,YY,MM,DD,hh,mm,WDIR,WSPD,ATMP,DEWP,VIS,Date
199,2021,12,19,1,55,210.0,7.7,24.0,23.0,6.1,2021-12-19 01:55:00
200,2021,12,19,1,35,210.0,6.7,24.0,22.0,8.7,2021-12-19 01:35:00
201,2021,12,19,1,15,210.0,6.2,24.0,22.0,7.8,2021-12-19 01:15:00
202,2021,12,19,0,55,210.0,5.7,24.0,22.0,8.7,2021-12-19 00:55:00
203,2021,12,19,0,35,200.0,6.7,24.0,22.0,7.0,2021-12-19 00:35:00
204,2021,12,19,0,15,190.0,5.1,24.0,22.0,6.1,2021-12-19 00:15:00
205,2021,12,18,23,55,190.0,5.7,24.0,22.0,7.8,2021-12-18 23:55:00
206,2021,12,18,23,35,190.0,5.7,24.0,22.0,7.0,2021-12-18 23:35:00
207,2021,12,18,23,15,200.0,4.6,24.0,22.0,5.2,2021-12-18 23:15:00
208,2021,12,18,22,55,210.0,6.2,24.0,22.0,8.7,2021-12-18 22:55:00
209,2021,12,18,22,35,210.0,3.6,24.0,22.0,5.2,2021-12-18 22:35:00
210,2021,12,18,22,15,210.0,6.7,24.0,22.0,5.2,2021-12-18 22:15:00
211,2021,12,18,21,55,210.0,6.7,24.0,22.0,7.0,2021-12-18 21:55:00
212,2021,12,18,21,35,210.0,7.7,24.0,22.0,6.1,2021-12-18 21:35:00
213,2021,12,18,21,15,200.0,10.8,24.0,22.0,4.3,2021-12-18 21:15:00
214,2021,12,18,20,55,200.0,8.2,24.0,23.0,3.5,2021-12-18 20:55:00
215,2021,12,18,20,35,200.0,9.3,24.0,23.0,3.5,2021-12-18 20:35:00
216,2021,12,18,20,15,200.0,5.7,24.0,23.0,4.3,2021-12-18 20:15:00
217,2021,12,18,19,55,200.0,5.1,24.0,22.0,5.2,2021-12-18 19:55:00
218,2021,12,18,19,35,180.0,5.1,24.0,22.0,7.0,2021-12-18 19:35:00
